data,acquired_by_app_immuni,acquired_by_app_immuni_total,acquired_by_web_ts,acquired_by_web_ts_total,acquired_by_web_id,acquired_by_web_id_total,acquired_by_web_spid,acquired_by_web_spid_total,acquired_by_operator_ts,acquired_by_operator_ts_total,acquired_by_operator_id,acquired_by_operator_id_total,acquired_by_app_io,acquired_by_app_io_total,acquired_all,acquired_all_total
2021-11-21,54064,11145245,198472,46711690,2186,495977,104049,33531413,31035,9916232,8325,1701005,584909,116265415,983040,219766977
2021-11-20,62777,11091181,231464,46513218,3670,493791,332432,33427364,37403,9885197,23144,1692680,721170,115680506,1412060,218783937
2021-11-19,61955,11028404,256633,46281754,5209,490121,352089,33094932,43054,9847794,23890,1669536,774292,114959336,1517122,217371877
2021-11-18,54231,10966449,236579,46025121,4642,484912,324014,32742843,39968,9804740,20978,1645646,727283,114185044,1407695,215854755
2021-11-17,59859,10912218,257712,45788542,5110,480270,364506,32418829,44600,9764772,17511,1624668,717643,113457761,1466941,214447060
2021-11-16,53181,10852359,224195,45530830,4526,475160,292587,32054323,38567,9720172,18958,1607157,696926,112740118,1328940,212980119
2021-11-15,63519,10799178,280771,45306635,5692,470634,457736,31761736,46265,9681605,28202,1588199,728724,112043192,1610909,211651179
2021-11-14,51251,10735659,180832,45025864,2079,464942,102055,31304000,28783,9635340,8363,1559997,571629,111314468,944992,210040270
2021-11-13,62182,10684408,226771,44845032,3593,462863,318532,31201945,35372,9606557,23130,1551634,708251,110742839,1377831,209095278
2021-11-12,57552,10622226,234620,44618261,5294,459270,337045,30883413,36841,9571185,24453,1528504,740774,110034588,1436579,207717447
2021-11-11,52134,10564674,222592,44383641,4843,453976,298294,30546368,37295,9534344,20519,1504051,725380,109293814,1361057,206280868
2021-11-10,60727,10512540,254996,44161049,5751,449133,381034,30248074,42035,9497049,23297,1483532,773156,108568434,1540996,204919811
2021-11-09,51890,10451813,213874,43906053,4925,443382,289087,29867040,37378,9455014,19506,1460235,712774,107795278,1329434,203378815
2021-11-08,63367,10399923,274962,43692179,6529,438457,457030,29577953,42586,9417636,28810,1440729,740219,107082504,1613503,202049381
2021-11-07,50014,10336556,168390,43417217,2400,431928,105216,29120923,26920,9375050,9526,1411919,541163,106342285,903629,200435878
2021-11-06,62163,10286542,218822,43248827,4150,429528,323910,29015707,35345,9348130,24925,1402393,709787,105801122,1379102,199532249
2021-11-05,54735,10224379,219100,43030005,5783,425378,305146,28691797,36493,9312785,25490,1377468,768180,105091335,1414927,198153147
2021-11-04,59679,10169644,241256,42810905,6097,419595,355850,28386651,40119,9276292,25987,1351978,770756,104323155,1499744,196738220
2021-11-03,55750,10109965,230484,42569649,5447,413498,322012,28030801,39399,9236173,22520,1325991,757076,103552399,1432688,195238476
2021-11-02,70143,10054215,292155,42339165,6642,408051,474524,27708789,49307,9196774,31190,1303471,782416,102795323,1706377,193805788
2021-11-01,48171,9984072,160659,42047010,2767,401409,131386,27234265,29086,9147467,11888,1272281,525918,102012907,909875,192099411
2021-10-31,53607,9935901,159417,41886351,2627,398642,95986,27102879,26182,9118381,10338,1260393,635871,101486989,984028,191189536
2021-10-30,65485,9882294,221484,41726934,4992,396015,346927,27006893,35793,9092199,29068,1250055,732972,100851118,1436721,190205508
2021-10-29,54485,9816809,206755,41505450,6890,391023,335045,26659966,35196,9056406,27894,1220987,778190,100118146,1444455,188768787
2021-10-28,59062,9762324,230092,41298695,6305,384133,326722,26324921,40704,9021210,25799,1193093,808175,99339956,1496859,187324332
2021-10-27,70328,9703262,275545,41068603,7318,377828,430395,25998199,48085,8980506,29333,1167294,886217,98531781,1747221,185827473
2021-10-26,63160,9632934,238242,40793058,6441,370510,320066,25567804,42726,8932421,24835,1137961,844990,97645564,1540460,184080252
2021-10-25,79377,9569774,319468,40554816,8128,364069,529221,25247738,53545,8889695,36480,1113126,890255,96800574,1916474,182539792
2021-10-24,61279,9490397,194159,40235348,3207,355941,117035,24718517,31343,8836150,11104,1076646,609996,95910319,1028123,180623318
2021-10-23,72779,9429118,240473,40041189,5247,352734,356294,24601482,39842,8804807,27316,1065542,813958,95300323,1555909,179595195
2021-10-22,73223,9356339,257878,39800716,7447,347487,395829,24245188,48093,8764965,31497,1038226,931468,94486365,1745435,178039286
